,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
46,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.10),1764,1.0,5973736.0,5953907.0,0.0,6.9277
47,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.90),15879,1.0,9906.0,15641.0,0.0,0.0168
48,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.75),13233,1.0,10101.0,15320.0,0.0,0.0155
49,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.50),8822,1.0,10645.0,15276.0,0.0,0.0139
50,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.25),4411,1.0,12972.0,13735.0,0.0,0.0143
51,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.10),1764,1.0,14477.0,14359.0,0.0,0.0142
52,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.90)",15879,1.0,16689.0,8889.0,6.0,0.0156
53,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.75)",13233,1.0,15867.0,8889.0,6.0,0.0138
54,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.50)",8822,1.0,15157.0,8889.0,6.0,0.012
55,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.25)",4411,1.0,20943.0,12306.0,9.0,0.0143
56,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.10)",1764,1.0,38166.0,21095.0,14.0,0.0236
57,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*,3638.0,1.0,513.0,493.0,0.0,0.0011
