,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Necessary Expansions,Iterations,Runtime(seconds)
46,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*,50419.0,1.0,8766.0,8714.0,0.0,0.0249
47,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,I-A*,-,1.0,18413.0,8714.0,0.0,0.0249
48,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM,17644.0,1.0,3940.0,3940.0,0.0,0.0075
49,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,I-MM,-,1.0,5188.0,3940.0,0.0,0.0075
50,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,IDA*,-,1.0,44419.0,15934.0,0.0,0.0243
51,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,D-A*,-,1.0,41403.0,15934.0,0.0,0.0243
52,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.90),15879,1.0,3849.0,3631.0,0.0,0.1548
53,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.75),13233,1.0,3538.0,3186.0,0.0,0.2728
54,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.50),8822,1.0,3457.0,3124.0,0.0,0.2658
55,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.25),4411,1.0,3651.0,3315.0,0.0,0.3065
56,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,MM+IDMM(0.10),1764,1.0,5805.0,5613.0,0.0,0.099
57,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.90),15879,1.0,9906.0,15641.0,0.0,0.0175
58,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.75),13233,1.0,10101.0,15320.0,0.0,0.0155
59,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.50),8822,1.0,10645.0,15276.0,0.0,0.0139
60,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.25),4411,1.0,12972.0,13735.0,0.0,0.0151
61,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,A*+IDA*(0.10),1764,1.0,14477.0,14359.0,0.0,0.0145
62,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.90)",15879,1.0,16689.0,8889.0,6.0,0.0164
63,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.75)",13233,1.0,15867.0,8889.0,6.0,0.0142
64,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.50)",8822,1.0,15157.0,8889.0,6.0,0.0123
65,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.25)",4411,1.0,20943.0,12306.0,9.0,0.0148
66,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,"MBBDS(k=1,ThreePhase=1)(0.10)",1764,1.0,38166.0,21095.0,14.0,0.0242
67,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,IDMM,-,1.0,52445.0,12265.0,0.0,0.0553
68,10.0,2.0,3.0, 1 8 2 4 6 9 7 5 0 3, 0 1 2 3 4 5 6 7 8 9,7.0,D-MM,-,1.0,15715.0,12265.0,0.0,0.0553
69,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*,3638.0,1.0,513.0,493.0,0.0,0.0011
70,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,I-A*,-,1.0,1085.0,493.0,0.0,0.0011
71,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM,1537.0,1.0,194.0,158.0,0.0,0.0005
72,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,I-MM,-,1.0,353.0,158.0,0.0,0.0005
73,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,IDA*,-,1.0,4886.0,657.0,0.0,0.0025
74,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,D-A*,-,1.0,4230.0,657.0,0.0,0.0025
75,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.90),1383,1.0,192.0,174.0,0.0,0.0011
76,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.75),1152,1.0,236.0,157.0,0.0,0.0063
77,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.50),768,1.0,204.0,120.0,0.0,0.0036
78,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.25),384,1.0,316.0,154.0,0.0,0.0019
79,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.10),153,1.0,340.0,170.0,0.0,0.0009
80,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.90),1383,1.0,1181.0,1018.0,0.0,0.0016
81,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.75),1152,1.0,1413.0,987.0,0.0,0.0017
82,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.50),768,1.0,1021.0,977.0,0.0,0.0012
83,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.25),384,1.0,3799.0,692.0,0.0,0.0036
84,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,A*+IDA*(0.10),153,1.0,4741.0,685.0,0.0,0.0043
85,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.90)",1383,1.0,1180.0,482.0,3.0,0.0012
86,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.75)",1152,1.0,1287.0,619.0,5.0,0.0012
87,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.50)",768,1.0,1307.0,687.0,6.0,0.0011
88,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.25)",384,1.0,1301.0,729.0,8.0,0.0011
89,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,"MBBDS(k=1,ThreePhase=1)(0.10)",153,1.0,1855.0,1037.0,11.0,0.0014
90,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,IDMM,-,1.0,2087.0,254.0,0.0,0.0021
91,10.0,2.0,4.0, 0 7 1 5 4 2 3 8 9 6, 0 1 2 3 4 5 6 7 8 9,4.0,D-MM,-,1.0,501.0,254.0,0.0,0.0021
92,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,A*,4023.0,1.0,580.0,529.0,0.0,0.0012
93,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,I-A*,-,1.0,1200.0,529.0,0.0,0.0012
94,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM,2914.0,1.0,389.0,220.0,0.0,0.0009
95,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,I-MM,-,1.0,520.0,220.0,0.0,0.0009
96,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,IDA*,-,1.0,1923.0,745.0,0.0,0.001
97,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,D-A*,-,1.0,1686.0,745.0,0.0,0.001
98,10.0,2.0,5.0, 0 2 3 7 4 5 6 9 1 8, 0 1 2 3 4 5 6 7 8 9,4.0,MM+IDMM(0.90),2622,1.0,384.0,352.0,0.0,0.0015
