,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Runtime(seconds)
52,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.75),3186,1.0,369.0,0.0007
53,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.50),2124,1.0,369.0,0.0007
54,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.25),1062,1.0,601.0,0.001
55,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.10),424,1.0,601.0,0.001
56,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,98852.0,1.0,7652.0,0.0579
57,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,22525.0,0.0579
58,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(1.00),98852,1.0,95482.0,0.1847
59,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.90),88966,1.0,95482.0,0.1843
60,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.75),74139,1.0,95482.0,0.1805
61,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.50),49426,1.0,95482.0,0.1772
62,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.25),24713,1.0,149186.0,0.2614
63,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.10),9885,1.0,310534.0,0.5393
64,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,281338.0,1.0,22469.0,0.2044
65,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,63068.0,0.2044
66,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(1.00),281338,1.0,240348.0,0.4889
67,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.90),253204,1.0,240348.0,0.4799
68,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.75),211003,1.0,240348.0,0.4594
69,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.50),140669,1.0,240348.0,0.4388
70,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.25),70334,1.0,381870.0,0.6327
71,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.10),28133,1.0,662170.0,1.1085
72,16.0,0.0,10.0, 7 5 6 3 4 1 2 0 12 10 11 8 9 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,83588.0,1.0,6455.0,0.0472
73,16.0,0.0,10.0, 7 5 6 3 4 1 2 0 12 10 11 8 9 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,19864.0,0.0472
74,16.0,0.0,10.0, 7 5 6 3 4 1 2 0 12 10 11 8 9 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(1.00),83588,1.0,83484.0,0.1524
