,Number Of Pancakes,Gap,Problem ID,Start state,Goal state,Initial Heuristic,Algorithm,Memory,Status,States Expanded,Runtime(seconds)
34,16.0,0.0,5.0, 8 10 9 12 11 14 13 15 7 5 6 3 4 1 2 0, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,10.0,MBBDS(k=1)(0.10),117377,1.0,3956472.0,6.9939
35,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,88802.0,1.0,6789.0,0.0495
36,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,17420.0,0.0495
37,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.90),79921,1.0,79097.0,0.167
38,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.75),66601,1.0,78088.0,0.1567
39,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.50),44401,1.0,81554.0,0.1507
40,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.25),22200,1.0,79845.0,0.1382
41,16.0,0.0,6.0, 0 2 1 4 3 6 5 7 8 13 10 9 12 11 15 14, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.10),8880,1.0,133493.0,0.2095
42,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,4249.0,1.0,310.0,0.002
43,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,653.0,0.002
44,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.90),3824,1.0,600.0,0.0024
45,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.75),3186,1.0,552.0,0.002
46,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.50),2124,1.0,474.0,0.0015
47,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.25),1062,1.0,629.0,0.0015
48,16.0,0.0,7.0, 8 11 10 9 13 12 15 14 3 1 2 0 7 6 5 4, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.10),424,1.0,583.0,0.0011
49,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MM,98852.0,1.0,7652.0,0.0599
50,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,I-MM,-,1.0,22525.0,0.0599
51,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.90),88966,1.0,101412.0,0.2352
52,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.75),74139,1.0,100245.0,0.222
53,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.50),49426,1.0,98334.0,0.2054
54,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.25),24713,1.0,150096.0,0.3006
55,16.0,0.0,8.0, 8 9 15 13 14 11 12 10 4 2 3 1 0 7 6 5, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,9.0,MBBDS(k=1)(0.10),9885,1.0,311198.0,0.6173
56,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MM,281338.0,1.0,22469.0,0.2439
57,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,I-MM,-,1.0,63068.0,0.2439
58,16.0,0.0,9.0, 1 0 3 2 5 4 7 6 11 12 9 10 8 15 14 13, 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,8.0,MBBDS(k=1)(0.90),253204,1.0,257453.0,0.8708
